"region","country_code","currency"
"EU/EEA","AT","EUR"
"EU/EEA","BE","EUR"
"EU/EEA","CH","CHF"
"EU/EEA","CZ","CZK"
"EU/EEA","DE","EUR"
"EU/EEA","DK","DKK"
"EU/EEA","EE","EUR"
"EU/EEA","ES","EUR"
"EU/EEA","FI","EUR"
"EU/EEA","FR","EUR"
"EU/EEA","GB","GBP"
"EU/EEA","GR","EUR"
"EU/EEA","HR","EUR"
"EU/EEA","HU","HUF"
"EU/EEA","IE","EUR"
"EU/EEA","IT","EUR"
"EU/EEA","LT","EUR"
"EU/EEA","LU","EUR"
"EU/EEA","LV","EUR"
"EU/EEA","MT","EUR"
"EU/EEA","NL","EUR"
"EU/EEA","NO","NOK"
"EU/EEA","PL","PLN"
"EU/EEA","PT","EUR"
"EU/EEA","RO","RON"
"EU/EEA","SE","SEK"
"EU/EEA","SI","EUR"
"North America","CA","CAD"
"North America","US","USD"
"LATAM","AR","ARS"
"LATAM","BR","BRL"
"LATAM","CL","CLP"
"LATAM","CO","COP"
"LATAM","EC","USD"
"LATAM","HN","HNL"
"LATAM","MX","MXN"
"LATAM","PR","USD"
"APAC","AU","AUD"
"APAC","CN","CNY"
"APAC","HK","HKD"
"APAC","ID","IDR"
"APAC","IN","INR"
"APAC","JP","JPY"
"APAC","KR","KRW"
"APAC","MY","MYR"
"APAC","NZ","NZD"
"APAC","PH","PHP"
"APAC","PK","PKR"
"APAC","SG","SGD"
"APAC","TH","THB"
"APAC","VN","VND"
"MENA","AE","AED"
"MENA","DZ","DZD"
"MENA","EG","EGP"
"MENA","IL","ILS"
"MENA","IQ","IQD"
"MENA","IR","IRR"
"MENA","LB","LBP"
"MENA","OM","OMR"
"MENA","QA","QAR"
"MENA","SA","SAR"
"Rest of Europe","AD","EUR"
"Rest of Europe","AM","AMD"
"Rest of Europe","BA","BAM"
"Rest of Europe","GI","GIP"
"Rest of Europe","MD","MDL"
"Rest of Europe","RU","RUB"
"Rest of Europe","UA","UAH"
"Africa","CF","XAF"
"Africa","GH","GHS"
"Africa","KE","KES"
"Africa","MU","MUR"
"Africa","NG","NGN"
"Africa","ZA","ZAR"
"Other","AS","USD"
"Other","BS","BSD"